Catégorie : Toutes catégories

Jour,5g: (Québec)
2020-03-01,20
2020-03-02,25
2020-03-03,18
2020-03-04,12
2020-03-05,16
2020-03-06,23
2020-03-07,17
2020-03-08,19
2020-03-09,17
2020-03-10,12
2020-03-11,27
2020-03-12,5
2020-03-13,16
2020-03-14,14
2020-03-15,16
2020-03-16,26
2020-03-17,47
2020-03-18,21
2020-03-19,26
2020-03-20,18
2020-03-21,16
2020-03-22,31
2020-03-23,19
2020-03-24,34
2020-03-25,19
2020-03-26,21
2020-03-27,41
2020-03-28,39
2020-03-29,54
2020-03-30,53
2020-03-31,39
2020-04-01,36
2020-04-02,73
2020-04-03,72
2020-04-04,100
2020-04-05,73
2020-04-06,82
2020-04-07,78
2020-04-08,56
2020-04-09,63
2020-04-10,82
2020-04-11,51
2020-04-12,39
2020-04-13,64
2020-04-14,47
2020-04-15,50
2020-04-16,31
2020-04-17,40
2020-04-18,41
2020-04-19,64
2020-04-20,48
2020-04-21,53
2020-04-22,54
2020-04-23,55
2020-04-24,80
2020-04-25,51
2020-04-26,50
2020-04-27,50
2020-04-28,27
2020-04-29,35
2020-04-30,53
2020-05-01,72
2020-05-02,62
2020-05-03,54
2020-05-04,58
2020-05-05,76
2020-05-06,56
2020-05-07,77
2020-05-08,81
2020-05-09,39
2020-05-10,25
2020-05-11,42
2020-05-12,27
2020-05-13,22
2020-05-14,43
2020-05-15,26
2020-05-16,32
2020-05-17,61
2020-05-18,30
2020-05-19,27
2020-05-20,16
2020-05-21,28
2020-05-22,17
2020-05-23,56
2020-05-24,22
2020-05-25,27
2020-05-26,23
2020-05-27,30
2020-05-28,25
2020-05-29,16
2020-05-30,16
2020-05-31,20
2020-06-01,15
2020-06-02,11
2020-06-03,34
2020-06-04,22
2020-06-05,26
2020-06-06,27
2020-06-07,27
2020-06-08,26
2020-06-09,26
2020-06-10,18
2020-06-11,18
2020-06-12,19
2020-06-13,33
2020-06-14,34
2020-06-15,29
2020-06-16,19
2020-06-17,29
2020-06-18,17
2020-06-19,18
2020-06-20,9
2020-06-21,23
2020-06-22,19
2020-06-23,14
2020-06-24,23
2020-06-25,22
2020-06-26,20
2020-06-27,28
2020-06-28,21
2020-06-29,24
2020-06-30,19
2020-07-01,24
2020-07-02,25
2020-07-03,15
2020-07-04,18
2020-07-05,14
2020-07-06,51
2020-07-07,25
2020-07-08,20
2020-07-09,15
2020-07-10,16
2020-07-11,22
2020-07-12,19
2020-07-13,12
2020-07-14,30
2020-07-15,15
2020-07-16,15
2020-07-17,26
2020-07-18,32
2020-07-19,26
2020-07-20,10
2020-07-21,26
2020-07-22,23
2020-07-23,42
2020-07-24,25
2020-07-25,25
2020-07-26,26
2020-07-27,24
2020-07-28,21
2020-07-29,36
2020-07-30,26
2020-07-31,25
2020-08-01,16
2020-08-02,27
2020-08-03,27
2020-08-04,31
2020-08-05,24
2020-08-06,28
2020-08-07,35
2020-08-08,25
2020-08-09,29
2020-08-10,20
2020-08-11,20
2020-08-12,30
2020-08-13,28
2020-08-14,21
2020-08-15,40
2020-08-16,30
2020-08-17,19
2020-08-18,14
2020-08-19,27
2020-08-20,40
2020-08-21,15
2020-08-22,15
2020-08-23,34
2020-08-24,31
2020-08-25,27
2020-08-26,18
2020-08-27,33
2020-08-28,18
2020-08-29,24
2020-08-30,22
2020-08-31,22
