date,QAnon,masque,5G
3/1/2020,0,5,20
3/2/2020,0,5,25
3/3/2020,0,6,18
3/4/2020,0,6,12
3/5/2020,9,4,16
3/6/2020,0,6,23
3/7/2020,0,4,17
3/8/2020,0,4,19
3/9/2020,0,4,17
3/10/2020,8,3,12
3/11/2020,0,8,27
3/12/2020,0,12,5
3/13/2020,8,7,16
3/14/2020,0,8,14
3/15/2020,10,7,16
3/16/2020,8,7,26
3/17/2020,8,9,47
3/18/2020,17,11,21
3/19/2020,8,8,26
3/20/2020,0,7,18
3/21/2020,19,7,16
3/22/2020,18,9,31
3/23/2020,14,10,19
3/24/2020,16,9,34
3/25/2020,13,10,19
3/26/2020,0,11,21
3/27/2020,12,7,41
3/28/2020,9,8,39
3/29/2020,18,6,54
3/30/2020,16,10,53
3/31/2020,20,20,39
4/1/2020,8,18,36
4/2/2020,23,17,73
4/3/2020,32,19,72
4/4/2020,33,29,100
4/5/2020,21,22,73
4/6/2020,19,29,82
4/7/2020,43,34,78
4/8/2020,15,20,56
4/9/2020,30,17,63
4/10/2020,28,15,82
4/11/2020,13,13,51
4/12/2020,14,10,39
4/13/2020,8,12,64
4/14/2020,19,10,47
4/15/2020,15,17,50
4/16/2020,8,15,31
4/17/2020,16,20,40
4/18/2020,0,26,41
4/19/2020,25,24,64
4/20/2020,11,30,48
4/21/2020,23,58,53
4/22/2020,8,68,54
4/23/2020,8,94,55
4/24/2020,8,71,80
4/25/2020,0,100,51
4/26/2020,9,67,50
4/27/2020,8,48,50
4/28/2020,8,52,27
4/29/2020,0,54,35
4/30/2020,8,77,53
5/1/2020,8,68,72
5/2/2020,9,51,62
5/3/2020,9,44,54
5/4/2020,15,50,58
5/5/2020,11,48,76
5/6/2020,16,46,56
5/7/2020,16,34,77
5/8/2020,0,47,81
5/9/2020,9,46,39
5/10/2020,9,34,25
5/11/2020,8,31,42
5/12/2020,23,58,27
5/13/2020,8,93,22
5/14/2020,0,65,43
5/15/2020,8,58,26
5/16/2020,9,46,32
5/17/2020,0,32,61
5/18/2020,18,35,30
5/19/2020,8,35,27
5/20/2020,8,37,16
5/21/2020,0,36,28
5/22/2020,13,29,17
5/23/2020,10,23,56
5/24/2020,10,19,22
5/25/2020,0,21,27
5/26/2020,8,20,23
5/27/2020,8,22,30
5/28/2020,8,19,25
5/29/2020,0,16,16
5/30/2020,0,13,16
5/31/2020,18,17,20
6/1/2020,8,16,15
6/2/2020,8,16,11
6/3/2020,8,18,34
6/4/2020,8,17,22
6/5/2020,8,14,26
6/6/2020,9,14,27
6/7/2020,24,11,27
6/8/2020,0,9,26
6/9/2020,0,12,26
6/10/2020,0,11,18
6/11/2020,8,14,18
6/12/2020,8,11,19
6/13/2020,0,11,33
6/14/2020,20,9,34
6/15/2020,8,9,29
6/16/2020,0,8,19
6/17/2020,8,8,29
6/18/2020,0,7,17
6/19/2020,9,9,18
6/20/2020,0,8,9
6/21/2020,10,8,23
6/22/2020,0,7,19
6/23/2020,17,7,14
6/24/2020,9,7,23
6/25/2020,0,8,22
6/26/2020,9,7,20
6/27/2020,10,8,28
6/28/2020,0,8,21
6/29/2020,0,9,24
6/30/2020,13,16,19
7/1/2020,24,11,24
7/2/2020,0,11,25
7/3/2020,18,8,15
7/4/2020,11,6,18
7/5/2020,10,7,14
7/6/2020,26,12,51
7/7/2020,9,22,25
7/8/2020,0,26,20
7/9/2020,0,32,15
7/10/2020,9,22,16
7/11/2020,14,21,22
7/12/2020,19,20,19
7/13/2020,9,88,12
7/14/2020,9,75,30
7/15/2020,18,62,15
7/16/2020,18,51,15
7/17/2020,9,52,26
7/18/2020,55,78,32
7/19/2020,21,64,26
7/20/2020,9,49,10
7/21/2020,18,39,26
7/22/2020,55,38,23
7/23/2020,23,25,42
7/24/2020,10,25,25
7/25/2020,17,19,25
7/26/2020,21,24,26
7/27/2020,17,24,24
7/28/2020,14,20,21
7/29/2020,18,21,36
7/30/2020,9,16,26
7/31/2020,19,19,25
8/1/2020,11,22,16
8/2/2020,10,15,27
8/3/2020,9,18,27
8/4/2020,0,20,31
8/5/2020,13,17,24
8/6/2020,18,18,28
8/7/2020,9,17,35
8/8/2020,11,16,25
8/9/2020,15,19,29
8/10/2020,22,23,20
8/11/2020,17,22,20
8/12/2020,54,19,30
8/13/2020,100,19,28
8/14/2020,47,15,21
8/15/2020,38,16,40
8/16/2020,26,15,30
8/17/2020,21,13,19
8/18/2020,17,16,14
8/19/2020,22,17,27
8/20/2020,66,16,40
8/21/2020,45,15,15
8/22/2020,27,17,15
8/23/2020,40,16,34
8/24/2020,17,18,31
8/25/2020,13,14,27
8/26/2020,49,16,18
8/27/2020,35,14,33
8/28/2020,14,17,18
8/29/2020,19,11,24
8/30/2020,15,12,22
8/31/2020,13,16,22
