,,0
virus,covid,655
virus,virus,1258
virus,coronavirus,684
virus,pandémie,223
virus,corona,735
virus,confinement,140
virus,épidémie,85
virus,maladie,211
virus,grippe,108
virus,infection,97
virus,antivirus,47
virus,propagation,59
virus,pandemic,27
virus,vague,44
virus,sars,6
virus,symptôme,61
virus,quarantaine,78
traitement,vaccin,303
traitement,chloroquine,96
traitement,vaccination,76
traitement,remède,82
traitement,aspirine,47
traitement,antidote,19
traitement,traitement,150
traitement,hydroxychloroquine,35
traitement,antibiotique,65
traitement,médicament,65
masque,masque,301
masque,n95,8
bilan,autopsie,52
bilan,dépistage,22
bilan,mort,273
bilan,décès,113
bilan,test,260
bilan,mortalité,64
complot,complot,270
complot,conspirationniste,94
complot,conspiration,177
complot,farce,3
complot,canular,22
complot,fraude,41
complot,complotiste,56
complot,conspirationiste,14
complot,propagande,41
complot,mensonge,69
experts,arruda,5
experts,nobel,16
experts,fauci,3
experts,borel,1
experts,rancourt,3
experts,plandemic,9
experts,professeur,92
experts,expert,100
reseaux_sociaux,facebook,1133
reseaux_sociaux,youtube,706
reseaux_sociaux,messenger,40
reseaux_sociaux,youtu,1094
reseaux_sociaux,fb,936
reseaux_sociaux,tube,761
reseaux_sociaux,twitter,71
reseaux_sociaux,réseau,230
reseaux_sociaux,instagram,29
reseaux_sociaux,tweet,29
5g,5g,41
politique,gouvernement,265
politique,président,68
politique,guerre,59
politique,trudeau,20
politique,ministre,59
politique,autorités,55
politique,legault,11
politique,ministère,28
politique,loi 61,16
politique,pétition,33
politique,politique,83
politique,police,36
politique,government,17
politique,fédérale,17
politique,fédéral,38
politique,provincial,11
politique,oms,47
regions,québec,9
regions,qc,75
regions,montréal,2
regions,québécois,47
regions,toronto,3
regions,estrie,3
regions,quebec,74
regions,lévis,34
regions,laval,2
regions,sherbrooke,6
regions,gatineau,3
regions,ottawa,11
europe,france,56
europe,français,112
europe,italien,62
europe,italie,74
europe,européen,35
europe,europe,14
europe,suisse,19
europe,suède,0
usa,trump,19
usa,état,106
usa,amérique,1
usa,usa,120
usa,américain,95
chine,chine,104
chine,chinois,178
chine,wuhan,36
chine,china,34
reste_du_monde,monde,392
reste_du_monde,mondial,168
reste_du_monde,world,68
reste_du_monde,russie,3
reste_du_monde,planète,34
reste_du_monde,afrique,10
reste_du_monde,global,50
reste_du_monde,australie,12
reste_du_monde,international,62
reste_du_monde,inde,63
entourage,femme,54
entourage,mari,68
entourage,conjoint,27
entourage,frère,25
entourage,soeur,21
entourage,fils,31
entourage,fille,34
entourage,oncle,6
entourage,tante,133
entourage,mère,40
entourage,père,108
entourage,ami,705
entourage,blonde,2
entourage,chum,6
entourage,copain,11
entourage,voisin,30
laboratoire,laboratoire,100
laboratoire,labo,202
laboratoire,lab,317
laboratoire,P4,38
qanon,the storm,0
qanon,la tempête,0
qanon,wwg1wga,0
qanon,pédophilie,6
qanon,satanique,2
qanon,satanisme,0
qanon,deep state,2
qanon,état profond,1
qanon,pizzagate,2
qanon,adrenochrome,0
qanon,frazzledrip,0
qanon,comet ping pong,0
qanon,le réveil,0
qanon,great awakening,0
qanon,gitmo,0
qanon,guantanamo,0
qanon,declas,1
qanon,qanon,1
