,datetime,level_1,0
0,2020-03-01,reseaux_sociaux,1
1,2020-03-01,virus,2
2,2020-03-01,traitement,1
3,2020-03-01,masque,0
4,2020-03-01,5g,0
5,2020-03-01,bilan,1
6,2020-03-01,complot,1
7,2020-03-01,experts,0
8,2020-03-01,politique,0
9,2020-03-01,laboratoire,1
10,2020-03-01,qanon,0
11,2020-03-02,reseaux_sociaux,1
12,2020-03-02,virus,2
13,2020-03-02,traitement,0
14,2020-03-02,masque,0
15,2020-03-02,5g,0
16,2020-03-02,bilan,1
17,2020-03-02,complot,0
18,2020-03-02,experts,0
19,2020-03-02,politique,0
20,2020-03-02,laboratoire,1
21,2020-03-02,qanon,0
22,2020-03-03,reseaux_sociaux,2
23,2020-03-03,virus,0
24,2020-03-03,traitement,0
25,2020-03-03,masque,0
26,2020-03-03,5g,1
27,2020-03-03,bilan,0
28,2020-03-03,complot,0
29,2020-03-03,experts,0
30,2020-03-03,politique,1
31,2020-03-03,laboratoire,0
32,2020-03-03,qanon,0
33,2020-03-04,reseaux_sociaux,1
34,2020-03-04,virus,1
35,2020-03-04,traitement,1
36,2020-03-04,masque,0
37,2020-03-04,5g,0
38,2020-03-04,bilan,1
39,2020-03-04,complot,0
40,2020-03-04,experts,0
41,2020-03-04,politique,2
42,2020-03-04,laboratoire,0
43,2020-03-04,qanon,0
44,2020-03-05,reseaux_sociaux,1
45,2020-03-05,virus,0
46,2020-03-05,traitement,0
47,2020-03-05,masque,0
48,2020-03-05,5g,0
49,2020-03-05,bilan,0
50,2020-03-05,complot,0
51,2020-03-05,experts,0
52,2020-03-05,politique,2
53,2020-03-05,laboratoire,0
54,2020-03-05,qanon,0
55,2020-03-06,reseaux_sociaux,1
56,2020-03-06,virus,0
57,2020-03-06,traitement,0
58,2020-03-06,masque,0
59,2020-03-06,5g,0
60,2020-03-06,bilan,0
61,2020-03-06,complot,0
62,2020-03-06,experts,0
63,2020-03-06,politique,0
64,2020-03-06,laboratoire,0
65,2020-03-06,qanon,0
66,2020-03-07,reseaux_sociaux,1
67,2020-03-07,virus,2
68,2020-03-07,traitement,0
69,2020-03-07,masque,1
70,2020-03-07,5g,0
71,2020-03-07,bilan,1
72,2020-03-07,complot,0
73,2020-03-07,experts,0
74,2020-03-07,politique,1
75,2020-03-07,laboratoire,0
76,2020-03-07,qanon,0
77,2020-03-08,reseaux_sociaux,1
78,2020-03-08,virus,3
79,2020-03-08,traitement,0
80,2020-03-08,masque,1
81,2020-03-08,5g,0
82,2020-03-08,bilan,1
83,2020-03-08,complot,0
84,2020-03-08,experts,0
85,2020-03-08,politique,2
86,2020-03-08,laboratoire,0
87,2020-03-08,qanon,0
88,2020-03-09,reseaux_sociaux,5
89,2020-03-09,virus,2
90,2020-03-09,traitement,0
91,2020-03-09,masque,1
92,2020-03-09,5g,0
93,2020-03-09,bilan,0
94,2020-03-09,complot,0
95,2020-03-09,experts,0
96,2020-03-09,politique,2
97,2020-03-09,laboratoire,0
98,2020-03-09,qanon,0
99,2020-03-10,reseaux_sociaux,3
100,2020-03-10,virus,1
101,2020-03-10,traitement,0
102,2020-03-10,masque,0
103,2020-03-10,5g,0
104,2020-03-10,bilan,0
105,2020-03-10,complot,1
106,2020-03-10,experts,0
107,2020-03-10,politique,0
108,2020-03-10,laboratoire,0
109,2020-03-10,qanon,0
110,2020-03-11,reseaux_sociaux,3
111,2020-03-11,virus,3
112,2020-03-11,traitement,0
113,2020-03-11,masque,0
114,2020-03-11,5g,0
115,2020-03-11,bilan,0
116,2020-03-11,complot,0
117,2020-03-11,experts,0
118,2020-03-11,politique,0
119,2020-03-11,laboratoire,0
120,2020-03-11,qanon,0
121,2020-03-12,reseaux_sociaux,3
122,2020-03-12,virus,3
123,2020-03-12,traitement,0
124,2020-03-12,masque,1
125,2020-03-12,5g,0
126,2020-03-12,bilan,0
127,2020-03-12,complot,0
128,2020-03-12,experts,0
129,2020-03-12,politique,0
130,2020-03-12,laboratoire,0
131,2020-03-12,qanon,0
