datetime,level_1,0,prop
2020-03-01,reseaux_sociaux,1.0,33.33333333333333
2020-03-01,virus,2.0,66.66666666666666
2020-03-01,traitement,1.0,33.33333333333333
2020-03-01,masque,,
2020-03-01,5g,,
2020-03-01,bilan,1.0,33.33333333333333
2020-03-01,complot,1.0,33.33333333333333
2020-03-01,experts,,
2020-03-01,politique,,
2020-03-01,laboratoire,1.0,33.33333333333333
2020-03-01,qanon,,
2020-03-01,entourage,1.0,33.33333333333333
2020-03-01,chine,1.0,33.33333333333333
2020-03-02,reseaux_sociaux,1.0,16.666666666666664
2020-03-02,virus,2.0,33.33333333333333
2020-03-02,traitement,,
2020-03-02,masque,,
2020-03-02,5g,,
2020-03-02,bilan,1.0,16.666666666666664
2020-03-02,complot,,
2020-03-02,experts,,
2020-03-02,politique,,
2020-03-02,laboratoire,1.0,16.666666666666664
2020-03-02,qanon,,
2020-03-02,entourage,,
2020-03-02,chine,3.0,50.0
2020-03-03,reseaux_sociaux,2.0,100.0
2020-03-03,virus,,
2020-03-03,traitement,,
2020-03-03,masque,,
2020-03-03,5g,1.0,50.0
2020-03-03,bilan,,
2020-03-03,complot,,
2020-03-03,experts,,
2020-03-03,politique,1.0,50.0
2020-03-03,laboratoire,,
2020-03-03,qanon,,
2020-03-03,entourage,,
2020-03-03,chine,,
2020-03-04,reseaux_sociaux,1.0,25.0
2020-03-04,virus,1.0,25.0
2020-03-04,traitement,1.0,25.0
2020-03-04,masque,,
2020-03-04,5g,,
2020-03-04,bilan,1.0,25.0
2020-03-04,complot,,
2020-03-04,experts,,
2020-03-04,politique,2.0,50.0
2020-03-04,laboratoire,,
2020-03-04,qanon,,
2020-03-04,entourage,1.0,25.0
2020-03-04,chine,,
2020-03-05,reseaux_sociaux,1.0,33.33333333333333
2020-03-05,virus,,
2020-03-05,traitement,,
2020-03-05,masque,,
2020-03-05,5g,,
2020-03-05,bilan,,
2020-03-05,complot,,
2020-03-05,experts,,
2020-03-05,politique,2.0,66.66666666666666
2020-03-05,laboratoire,,
2020-03-05,qanon,,
2020-03-05,entourage,1.0,33.33333333333333
2020-03-05,chine,,
2020-03-06,reseaux_sociaux,1.0,100.0
2020-03-06,virus,,
2020-03-06,traitement,,
2020-03-06,masque,,
2020-03-06,5g,,
2020-03-06,bilan,,
2020-03-06,complot,,
2020-03-06,experts,,
2020-03-06,politique,,
2020-03-06,laboratoire,,
2020-03-06,qanon,,
2020-03-06,entourage,,
2020-03-06,chine,,
2020-03-07,reseaux_sociaux,1.0,25.0
2020-03-07,virus,2.0,50.0
2020-03-07,traitement,,
2020-03-07,masque,1.0,25.0
2020-03-07,5g,,
2020-03-07,bilan,1.0,25.0
2020-03-07,complot,,
2020-03-07,experts,,
2020-03-07,politique,1.0,25.0
2020-03-07,laboratoire,,
2020-03-07,qanon,,
2020-03-07,entourage,,
2020-03-07,chine,,
2020-03-08,reseaux_sociaux,1.0,25.0
2020-03-08,virus,3.0,75.0
2020-03-08,traitement,,
2020-03-08,masque,1.0,25.0
2020-03-08,5g,,
2020-03-08,bilan,1.0,25.0
2020-03-08,complot,,
2020-03-08,experts,,
2020-03-08,politique,2.0,50.0
2020-03-08,laboratoire,,
2020-03-08,qanon,,
2020-03-08,entourage,,
2020-03-08,chine,,
2020-03-09,reseaux_sociaux,5.0,83.33333333333334
2020-03-09,virus,2.0,33.33333333333333
2020-03-09,traitement,,
2020-03-09,masque,1.0,16.666666666666664
2020-03-09,5g,,
2020-03-09,bilan,,
2020-03-09,complot,,
2020-03-09,experts,,
2020-03-09,politique,2.0,33.33333333333333
2020-03-09,laboratoire,,
2020-03-09,qanon,,
2020-03-09,entourage,1.0,16.666666666666664
2020-03-09,chine,,
2020-03-10,reseaux_sociaux,3.0,42.857142857142854
2020-03-10,virus,1.0,14.285714285714285
2020-03-10,traitement,,
2020-03-10,masque,,
2020-03-10,5g,,
2020-03-10,bilan,,
2020-03-10,complot,1.0,14.285714285714285
2020-03-10,experts,,
2020-03-10,politique,,
2020-03-10,laboratoire,,
2020-03-10,qanon,,
2020-03-10,entourage,1.0,14.285714285714285
2020-03-10,chine,,
2020-03-11,reseaux_sociaux,3.0,60.0
2020-03-11,virus,3.0,60.0
2020-03-11,traitement,,
2020-03-11,masque,,
2020-03-11,5g,,
2020-03-11,bilan,,
2020-03-11,complot,,
2020-03-11,experts,,
2020-03-11,politique,,
2020-03-11,laboratoire,,
2020-03-11,qanon,,
2020-03-11,entourage,,
2020-03-11,chine,1.0,20.0
2020-03-12,reseaux_sociaux,3.0,50.0
2020-03-12,virus,3.0,50.0
2020-03-12,traitement,,
2020-03-12,masque,1.0,16.666666666666664
2020-03-12,5g,,
2020-03-12,bilan,,
2020-03-12,complot,,
2020-03-12,experts,,
2020-03-12,politique,,
2020-03-12,laboratoire,,
2020-03-12,qanon,,
2020-03-12,entourage,1.0,16.666666666666664
2020-03-12,chine,1.0,16.666666666666664
2020-03-13,reseaux_sociaux,11.0,68.75
2020-03-13,virus,8.0,50.0
2020-03-13,traitement,1.0,6.25
2020-03-13,masque,3.0,18.75
2020-03-13,5g,,
2020-03-13,bilan,1.0,6.25
2020-03-13,complot,,
2020-03-13,experts,1.0,6.25
2020-03-13,politique,1.0,6.25
2020-03-13,laboratoire,,
2020-03-13,qanon,,
2020-03-13,entourage,4.0,25.0
2020-03-13,chine,3.0,18.75
2020-03-14,reseaux_sociaux,4.0,28.57142857142857
2020-03-14,virus,8.0,57.14285714285714
2020-03-14,traitement,,
2020-03-14,masque,1.0,7.142857142857142
2020-03-14,5g,,
2020-03-14,bilan,,
2020-03-14,complot,,
2020-03-14,experts,,
2020-03-14,politique,1.0,7.142857142857142
2020-03-14,laboratoire,,
2020-03-14,qanon,,
2020-03-14,entourage,2.0,14.285714285714285
2020-03-14,chine,1.0,7.142857142857142
2020-03-15,reseaux_sociaux,4.0,30.76923076923077
2020-03-15,virus,10.0,76.92307692307693
2020-03-15,traitement,3.0,23.076923076923077
2020-03-15,masque,1.0,7.6923076923076925
2020-03-15,5g,,
2020-03-15,bilan,1.0,7.6923076923076925
2020-03-15,complot,2.0,15.384615384615385
2020-03-15,experts,1.0,7.6923076923076925
2020-03-15,politique,,
2020-03-15,laboratoire,,
2020-03-15,qanon,,
2020-03-15,entourage,,
2020-03-15,chine,1.0,7.6923076923076925
2020-03-16,reseaux_sociaux,12.0,60.0
2020-03-16,virus,12.0,60.0
2020-03-16,traitement,1.0,5.0
2020-03-16,masque,1.0,5.0
2020-03-16,5g,,
2020-03-16,bilan,,
2020-03-16,complot,2.0,10.0
2020-03-16,experts,3.0,15.0
2020-03-16,politique,5.0,25.0
2020-03-16,laboratoire,2.0,10.0
2020-03-16,qanon,,
