Date,Thème,Nombre de courriels,Proportion par jour
2020-03-01,complot,1.0,33.33
2020-03-01,bilan,1.0,33.33
2020-03-01,QAnon,,
2020-03-02,complot,,
2020-03-02,bilan,1.0,16.67
2020-03-02,QAnon,,
2020-03-03,complot,,
2020-03-03,bilan,,
2020-03-03,QAnon,,
2020-03-04,complot,,
2020-03-04,bilan,1.0,25.0
2020-03-04,QAnon,,
2020-03-05,complot,,
2020-03-05,bilan,,
2020-03-05,QAnon,,
2020-03-06,complot,,
2020-03-06,bilan,,
2020-03-06,QAnon,,
2020-03-07,complot,,
2020-03-07,bilan,1.0,25.0
2020-03-07,QAnon,,
2020-03-08,complot,,
2020-03-08,bilan,1.0,25.0
2020-03-08,QAnon,,
2020-03-09,complot,,
2020-03-09,bilan,,
2020-03-09,QAnon,,
2020-03-10,complot,1.0,14.29
2020-03-10,bilan,,
2020-03-10,QAnon,,
2020-03-11,complot,,
2020-03-11,bilan,,
2020-03-11,QAnon,,
2020-03-12,complot,,
2020-03-12,bilan,,
2020-03-12,QAnon,,
2020-03-13,complot,,
2020-03-13,bilan,1.0,6.25
2020-03-13,QAnon,,
2020-03-14,complot,,
2020-03-14,bilan,,
2020-03-14,QAnon,,
2020-03-15,complot,2.0,15.38
2020-03-15,bilan,1.0,7.69
2020-03-15,QAnon,,
2020-03-16,complot,2.0,10.0
2020-03-16,bilan,,
2020-03-16,QAnon,,
2020-03-17,complot,2.0,3.64
2020-03-17,bilan,8.0,14.55
2020-03-17,QAnon,1.0,1.82
2020-03-18,complot,6.0,8.11
2020-03-18,bilan,2.0,2.7
2020-03-18,QAnon,,
2020-03-19,complot,3.0,6.82
2020-03-19,bilan,,
2020-03-19,QAnon,,
2020-03-20,complot,1.0,2.78
2020-03-20,bilan,1.0,2.78
2020-03-20,QAnon,,
2020-03-21,complot,,
2020-03-21,bilan,2.0,5.13
2020-03-21,QAnon,,
2020-03-22,complot,2.0,4.08
2020-03-22,bilan,2.0,4.08
2020-03-22,QAnon,,
2020-03-23,complot,4.0,7.27
2020-03-23,bilan,2.0,3.64
2020-03-23,QAnon,,
2020-03-24,complot,4.0,8.51
2020-03-24,bilan,4.0,8.51
2020-03-24,QAnon,,
2020-03-25,complot,5.0,11.63
2020-03-25,bilan,4.0,9.3
2020-03-25,QAnon,,
2020-03-26,complot,3.0,3.95
2020-03-26,bilan,3.0,3.95
2020-03-26,QAnon,1.0,1.32
2020-03-27,complot,5.0,4.24
2020-03-27,bilan,4.0,3.39
2020-03-27,QAnon,2.0,1.69
2020-03-28,complot,6.0,4.55
2020-03-28,bilan,7.0,5.3
2020-03-28,QAnon,,
2020-03-29,complot,6.0,5.71
2020-03-29,bilan,11.0,10.48
2020-03-29,QAnon,,
2020-03-30,complot,4.0,4.88
2020-03-30,bilan,8.0,9.76
2020-03-30,QAnon,1.0,1.22
2020-03-31,complot,9.0,9.89
2020-03-31,bilan,6.0,6.59
2020-03-31,QAnon,,
2020-04-01,complot,8.0,12.12
2020-04-01,bilan,7.0,10.61
2020-04-01,QAnon,1.0,1.52
2020-04-02,complot,8.0,13.11
2020-04-02,bilan,4.0,6.56
2020-04-02,QAnon,2.0,3.28
2020-04-03,complot,6.0,6.67
2020-04-03,bilan,5.0,5.56
2020-04-03,QAnon,2.0,2.22
2020-04-04,complot,4.0,6.25
2020-04-04,bilan,1.0,1.56
2020-04-04,QAnon,1.0,1.56
