Date,Thème,Nombre de courriels,Proportion par jour
2020-03-01,entourage,1.0,33.33
2020-03-01,réseaux sociaux,1.0,33.33
2020-03-02,entourage,,
2020-03-02,réseaux sociaux,1.0,16.67
2020-03-03,entourage,,
2020-03-03,réseaux sociaux,2.0,100.0
2020-03-04,entourage,1.0,25.0
2020-03-04,réseaux sociaux,1.0,25.0
2020-03-05,entourage,1.0,33.33
2020-03-05,réseaux sociaux,1.0,33.33
2020-03-06,entourage,,
2020-03-06,réseaux sociaux,1.0,100.0
2020-03-07,entourage,,
2020-03-07,réseaux sociaux,1.0,25.0
2020-03-08,entourage,,
2020-03-08,réseaux sociaux,1.0,25.0
2020-03-09,entourage,1.0,16.67
2020-03-09,réseaux sociaux,5.0,83.33
2020-03-10,entourage,1.0,14.29
2020-03-10,réseaux sociaux,3.0,42.86
2020-03-11,entourage,,
2020-03-11,réseaux sociaux,3.0,60.0
2020-03-12,entourage,1.0,16.67
2020-03-12,réseaux sociaux,3.0,50.0
2020-03-13,entourage,4.0,25.0
2020-03-13,réseaux sociaux,11.0,68.75
2020-03-14,entourage,2.0,14.29
2020-03-14,réseaux sociaux,4.0,28.57
2020-03-15,entourage,,
2020-03-15,réseaux sociaux,4.0,30.77
2020-03-16,entourage,3.0,15.0
2020-03-16,réseaux sociaux,12.0,60.0
2020-03-17,entourage,11.0,20.0
2020-03-17,réseaux sociaux,18.0,32.73
2020-03-18,entourage,5.0,6.76
2020-03-18,réseaux sociaux,38.0,51.35
2020-03-19,entourage,10.0,22.73
2020-03-19,réseaux sociaux,18.0,40.91
2020-03-20,entourage,9.0,25.0
2020-03-20,réseaux sociaux,12.0,33.33
2020-03-21,entourage,6.0,15.38
2020-03-21,réseaux sociaux,18.0,46.15
2020-03-22,entourage,10.0,20.41
2020-03-22,réseaux sociaux,23.0,46.94
2020-03-23,entourage,8.0,14.55
2020-03-23,réseaux sociaux,29.0,52.73
2020-03-24,entourage,10.0,21.28
2020-03-24,réseaux sociaux,13.0,27.66
2020-03-25,entourage,10.0,23.26
2020-03-25,réseaux sociaux,21.0,48.84
2020-03-26,entourage,11.0,14.47
2020-03-26,réseaux sociaux,39.0,51.32
2020-03-27,entourage,11.0,9.32
2020-03-27,réseaux sociaux,76.0,64.41
2020-03-28,entourage,14.0,10.61
2020-03-28,réseaux sociaux,85.0,64.39
2020-03-29,entourage,7.0,6.67
2020-03-29,réseaux sociaux,53.0,50.48
2020-03-30,entourage,6.0,7.32
2020-03-30,réseaux sociaux,38.0,46.34
2020-03-31,entourage,9.0,9.89
2020-03-31,réseaux sociaux,47.0,51.65
2020-04-01,entourage,10.0,15.15
2020-04-01,réseaux sociaux,31.0,46.97
2020-04-02,entourage,10.0,16.39
2020-04-02,réseaux sociaux,35.0,57.38
2020-04-03,entourage,13.0,14.44
2020-04-03,réseaux sociaux,54.0,60.0
2020-04-04,entourage,3.0,4.69
2020-04-04,réseaux sociaux,33.0,51.56
2020-04-05,entourage,7.0,13.46
2020-04-05,réseaux sociaux,33.0,63.46
2020-04-06,entourage,7.0,11.11
2020-04-06,réseaux sociaux,33.0,52.38
2020-04-07,entourage,5.0,7.35
2020-04-07,réseaux sociaux,34.0,50.0
2020-04-08,entourage,10.0,14.29
2020-04-08,réseaux sociaux,39.0,55.71
2020-04-09,entourage,14.0,17.28
2020-04-09,réseaux sociaux,38.0,46.91
2020-04-10,entourage,6.0,11.54
2020-04-10,réseaux sociaux,26.0,50.0
2020-04-11,entourage,8.0,11.27
2020-04-11,réseaux sociaux,48.0,67.61
2020-04-12,entourage,11.0,19.64
2020-04-12,réseaux sociaux,38.0,67.86
2020-04-13,entourage,20.0,17.09
2020-04-13,réseaux sociaux,66.0,56.41
2020-04-14,entourage,14.0,14.43
2020-04-14,réseaux sociaux,55.0,56.7
2020-04-15,entourage,10.0,10.31
2020-04-15,réseaux sociaux,62.0,63.92
2020-04-16,entourage,12.0,13.95
2020-04-16,réseaux sociaux,61.0,70.93
2020-04-17,entourage,11.0,11.96
2020-04-17,réseaux sociaux,59.0,64.13
2020-04-18,entourage,11.0,12.64
2020-04-18,réseaux sociaux,60.0,68.97
2020-04-19,entourage,10.0,12.2
2020-04-19,réseaux sociaux,55.0,67.07
2020-04-20,entourage,7.0,9.72
2020-04-20,réseaux sociaux,43.0,59.72
2020-04-21,entourage,12.0,17.91
2020-04-21,réseaux sociaux,35.0,52.24
2020-04-22,entourage,9.0,11.25
2020-04-22,réseaux sociaux,44.0,55.0
2020-04-23,entourage,5.0,10.64
2020-04-23,réseaux sociaux,24.0,51.06
2020-04-24,entourage,5.0,10.42
2020-04-24,réseaux sociaux,29.0,60.42
2020-04-25,entourage,4.0,9.3
