Date,Thème,Nombre de courriels,Proportion par jour
2020-03-01,réseaux sociaux,1.0,33.33
2020-03-01,virus,2.0,66.67
2020-03-01,traitement,1.0,33.33
2020-03-01,masque,,
2020-03-01,5G,,
2020-03-01,bilan,1.0,33.33
2020-03-01,complot,1.0,33.33
2020-03-01,expert,,
2020-03-01,politique,,
2020-03-01,laboratoire,1.0,33.33
2020-03-01,QAnon,,
2020-03-01,entourage,1.0,33.33
2020-03-01,Chine,1.0,33.33
2020-03-02,réseaux sociaux,1.0,16.67
2020-03-02,virus,2.0,33.33
2020-03-02,traitement,,
2020-03-02,masque,,
2020-03-02,5G,,
2020-03-02,bilan,1.0,16.67
2020-03-02,complot,,
2020-03-02,expert,,
2020-03-02,politique,,
2020-03-02,laboratoire,1.0,16.67
2020-03-02,QAnon,,
2020-03-02,entourage,,
2020-03-02,Chine,3.0,50.0
2020-03-03,réseaux sociaux,2.0,100.0
2020-03-03,virus,,
2020-03-03,traitement,,
2020-03-03,masque,,
2020-03-03,5G,1.0,50.0
2020-03-03,bilan,,
2020-03-03,complot,,
2020-03-03,expert,,
2020-03-03,politique,1.0,50.0
2020-03-03,laboratoire,,
2020-03-03,QAnon,,
2020-03-03,entourage,,
2020-03-03,Chine,,
2020-03-04,réseaux sociaux,1.0,25.0
2020-03-04,virus,1.0,25.0
2020-03-04,traitement,1.0,25.0
2020-03-04,masque,,
2020-03-04,5G,,
2020-03-04,bilan,1.0,25.0
2020-03-04,complot,,
2020-03-04,expert,,
2020-03-04,politique,2.0,50.0
2020-03-04,laboratoire,,
2020-03-04,QAnon,,
2020-03-04,entourage,1.0,25.0
2020-03-04,Chine,,
2020-03-05,réseaux sociaux,1.0,33.33
2020-03-05,virus,,
2020-03-05,traitement,,
2020-03-05,masque,,
2020-03-05,5G,,
2020-03-05,bilan,,
2020-03-05,complot,,
2020-03-05,expert,,
2020-03-05,politique,2.0,66.67
2020-03-05,laboratoire,,
2020-03-05,QAnon,,
2020-03-05,entourage,1.0,33.33
2020-03-05,Chine,,
2020-03-06,réseaux sociaux,1.0,100.0
2020-03-06,virus,,
2020-03-06,traitement,,
2020-03-06,masque,,
2020-03-06,5G,,
2020-03-06,bilan,,
2020-03-06,complot,,
2020-03-06,expert,,
2020-03-06,politique,,
2020-03-06,laboratoire,,
2020-03-06,QAnon,,
2020-03-06,entourage,,
2020-03-06,Chine,,
2020-03-07,réseaux sociaux,1.0,25.0
2020-03-07,virus,2.0,50.0
2020-03-07,traitement,,
2020-03-07,masque,1.0,25.0
2020-03-07,5G,,
2020-03-07,bilan,1.0,25.0
2020-03-07,complot,,
2020-03-07,expert,,
2020-03-07,politique,1.0,25.0
2020-03-07,laboratoire,,
2020-03-07,QAnon,,
2020-03-07,entourage,,
2020-03-07,Chine,,
2020-03-08,réseaux sociaux,1.0,25.0
2020-03-08,virus,3.0,75.0
2020-03-08,traitement,,
2020-03-08,masque,1.0,25.0
2020-03-08,5G,,
2020-03-08,bilan,1.0,25.0
2020-03-08,complot,,
2020-03-08,expert,,
2020-03-08,politique,2.0,50.0
2020-03-08,laboratoire,,
2020-03-08,QAnon,,
