Date,Thème,Nombre de courriels,Proportion par jour
2020-03-01,virus,2.0,66.67
2020-03-01,Chine,1.0,33.33
2020-03-01,laboratoire,1.0,33.33
2020-03-02,virus,2.0,33.33
2020-03-02,Chine,3.0,50.0
2020-03-02,laboratoire,1.0,16.67
2020-03-03,virus,,
2020-03-03,Chine,,
2020-03-03,laboratoire,,
2020-03-04,virus,1.0,25.0
2020-03-04,Chine,,
2020-03-04,laboratoire,,
2020-03-05,virus,,
2020-03-05,Chine,,
2020-03-05,laboratoire,,
2020-03-06,virus,,
2020-03-06,Chine,,
2020-03-06,laboratoire,,
2020-03-07,virus,2.0,50.0
2020-03-07,Chine,,
2020-03-07,laboratoire,,
2020-03-08,virus,3.0,75.0
2020-03-08,Chine,,
2020-03-08,laboratoire,,
2020-03-09,virus,2.0,33.33
2020-03-09,Chine,,
2020-03-09,laboratoire,,
2020-03-10,virus,1.0,14.29
2020-03-10,Chine,,
2020-03-10,laboratoire,,
2020-03-11,virus,3.0,60.0
2020-03-11,Chine,1.0,20.0
2020-03-11,laboratoire,,
2020-03-12,virus,3.0,50.0
2020-03-12,Chine,1.0,16.67
2020-03-12,laboratoire,,
2020-03-13,virus,8.0,50.0
2020-03-13,Chine,3.0,18.75
2020-03-13,laboratoire,,
2020-03-14,virus,8.0,57.14
2020-03-14,Chine,1.0,7.14
2020-03-14,laboratoire,,
2020-03-15,virus,10.0,76.92
2020-03-15,Chine,1.0,7.69
2020-03-15,laboratoire,,
2020-03-16,virus,12.0,60.0
2020-03-16,Chine,3.0,15.0
2020-03-16,laboratoire,2.0,10.0
2020-03-17,virus,30.0,54.55
2020-03-17,Chine,6.0,10.91
2020-03-17,laboratoire,2.0,3.64
2020-03-18,virus,42.0,56.76
2020-03-18,Chine,3.0,4.05
2020-03-18,laboratoire,4.0,5.41
2020-03-19,virus,30.0,68.18
2020-03-19,Chine,5.0,11.36
2020-03-19,laboratoire,1.0,2.27
2020-03-20,virus,22.0,61.11
2020-03-20,Chine,4.0,11.11
2020-03-20,laboratoire,2.0,5.56
2020-03-21,virus,25.0,64.1
2020-03-21,Chine,6.0,15.38
2020-03-21,laboratoire,2.0,5.13
2020-03-22,virus,26.0,53.06
2020-03-22,Chine,1.0,2.04
2020-03-22,laboratoire,,
2020-03-23,virus,30.0,54.55
2020-03-23,Chine,7.0,12.73
2020-03-23,laboratoire,,
2020-03-24,virus,27.0,57.45
2020-03-24,Chine,7.0,14.89
2020-03-24,laboratoire,1.0,2.13
2020-03-25,virus,18.0,41.86
2020-03-25,Chine,4.0,9.3
2020-03-25,laboratoire,1.0,2.33
2020-03-26,virus,33.0,43.42
2020-03-26,Chine,4.0,5.26
2020-03-26,laboratoire,1.0,1.32
2020-03-27,virus,48.0,40.68
2020-03-27,Chine,6.0,5.08
2020-03-27,laboratoire,2.0,1.69
2020-03-28,virus,55.0,41.67
2020-03-28,Chine,9.0,6.82
2020-03-28,laboratoire,3.0,2.27
2020-03-29,virus,45.0,42.86
2020-03-29,Chine,17.0,16.19
2020-03-29,laboratoire,2.0,1.9
2020-03-30,virus,46.0,56.1
2020-03-30,Chine,9.0,10.98
2020-03-30,laboratoire,3.0,3.66
2020-03-31,virus,44.0,48.35
2020-03-31,Chine,12.0,13.19
2020-03-31,laboratoire,1.0,1.1
2020-04-01,virus,31.0,46.97
2020-04-01,Chine,10.0,15.15
2020-04-01,laboratoire,,
2020-04-02,virus,21.0,34.43
2020-04-02,Chine,10.0,16.39
2020-04-02,laboratoire,2.0,3.28
2020-04-03,virus,46.0,51.11
2020-04-03,Chine,9.0,10.0
2020-04-03,laboratoire,2.0,2.22
2020-04-04,virus,26.0,40.62
2020-04-04,Chine,9.0,14.06
2020-04-04,laboratoire,,
2020-04-05,virus,23.0,44.23
2020-04-05,Chine,9.0,17.31
2020-04-05,laboratoire,1.0,1.92
2020-04-06,virus,27.0,42.86
2020-04-06,Chine,7.0,11.11
2020-04-06,laboratoire,2.0,3.17
2020-04-07,virus,34.0,50.0
2020-04-07,Chine,12.0,17.65
2020-04-07,laboratoire,1.0,1.47
2020-04-08,virus,27.0,38.57
2020-04-08,Chine,8.0,11.43
2020-04-08,laboratoire,2.0,2.86
2020-04-09,virus,42.0,51.85
2020-04-09,Chine,10.0,12.35
2020-04-09,laboratoire,2.0,2.47
2020-04-10,virus,31.0,59.62
2020-04-10,Chine,5.0,9.62
2020-04-10,laboratoire,2.0,3.85
2020-04-11,virus,30.0,42.25
2020-04-11,Chine,5.0,7.04
2020-04-11,laboratoire,3.0,4.23
2020-04-12,virus,28.0,50.0
2020-04-12,Chine,8.0,14.29
2020-04-12,laboratoire,1.0,1.79
2020-04-13,virus,47.0,40.17
2020-04-13,Chine,8.0,6.84
2020-04-13,laboratoire,,
2020-04-14,virus,48.0,49.48
2020-04-14,Chine,12.0,12.37
2020-04-14,laboratoire,2.0,2.06
2020-04-15,virus,43.0,44.33
2020-04-15,Chine,16.0,16.49
2020-04-15,laboratoire,3.0,3.09
2020-04-16,virus,45.0,52.33
2020-04-16,Chine,13.0,15.12
2020-04-16,laboratoire,6.0,6.98
2020-04-17,virus,44.0,47.83
2020-04-17,Chine,16.0,17.39
2020-04-17,laboratoire,12.0,13.04
2020-04-18,virus,29.0,33.33
2020-04-18,Chine,5.0,5.75
2020-04-18,laboratoire,4.0,4.6
2020-04-19,virus,33.0,40.24
2020-04-19,Chine,7.0,8.54
2020-04-19,laboratoire,8.0,9.76
2020-04-20,virus,38.0,52.78
2020-04-20,Chine,9.0,12.5
2020-04-20,laboratoire,8.0,11.11
2020-04-21,virus,35.0,52.24
2020-04-21,Chine,8.0,11.94
2020-04-21,laboratoire,1.0,1.49
2020-04-22,virus,28.0,35.0
2020-04-22,Chine,8.0,10.0
2020-04-22,laboratoire,3.0,3.75
2020-04-23,virus,20.0,42.55
2020-04-23,Chine,1.0,2.13
2020-04-23,laboratoire,,
2020-04-24,virus,25.0,52.08
2020-04-24,Chine,6.0,12.5
2020-04-24,laboratoire,2.0,4.17
2020-04-25,virus,18.0,41.86
2020-04-25,Chine,2.0,4.65
2020-04-25,laboratoire,1.0,2.33
2020-04-26,virus,28.0,50.91
2020-04-26,Chine,3.0,5.45
2020-04-26,laboratoire,2.0,3.64
2020-04-27,virus,32.0,57.14
2020-04-27,Chine,8.0,14.29
2020-04-27,laboratoire,4.0,7.14
2020-04-28,virus,30.0,54.55
2020-04-28,Chine,7.0,12.73
2020-04-28,laboratoire,4.0,7.27
2020-04-29,virus,35.0,51.47
2020-04-29,Chine,3.0,4.41
2020-04-29,laboratoire,2.0,2.94
2020-04-30,virus,19.0,32.76
2020-04-30,Chine,2.0,3.45
2020-04-30,laboratoire,,
2020-05-01,virus,23.0,46.94
2020-05-01,Chine,5.0,10.2
2020-05-01,laboratoire,1.0,2.04
2020-05-02,virus,9.0,56.25
2020-05-02,Chine,1.0,6.25
2020-05-02,laboratoire,,
2020-05-03,virus,15.0,44.12
2020-05-03,Chine,4.0,11.76
2020-05-03,laboratoire,2.0,5.88
2020-05-04,virus,29.0,43.28
2020-05-04,Chine,7.0,10.45
2020-05-04,laboratoire,6.0,8.96
2020-05-05,virus,20.0,40.0
2020-05-05,Chine,5.0,10.0
2020-05-05,laboratoire,,
2020-05-06,virus,26.0,47.27
2020-05-06,Chine,7.0,12.73
2020-05-06,laboratoire,,
2020-05-07,virus,19.0,46.34
2020-05-07,Chine,3.0,7.32
2020-05-07,laboratoire,3.0,7.32
2020-05-08,virus,19.0,61.29
2020-05-08,Chine,2.0,6.45
2020-05-08,laboratoire,1.0,3.23
2020-05-09,virus,17.0,62.96
2020-05-09,Chine,3.0,11.11
2020-05-09,laboratoire,3.0,11.11
2020-05-10,virus,11.0,25.0
2020-05-10,Chine,4.0,9.09
2020-05-10,laboratoire,1.0,2.27
2020-05-11,virus,12.0,41.38
2020-05-11,Chine,2.0,6.9
2020-05-11,laboratoire,,
2020-05-12,virus,27.0,55.1
2020-05-12,Chine,10.0,20.41
2020-05-12,laboratoire,3.0,6.12
2020-05-13,virus,17.0,43.59
2020-05-13,Chine,2.0,5.13
2020-05-13,laboratoire,2.0,5.13
2020-05-14,virus,9.0,29.03
2020-05-14,Chine,1.0,3.23
2020-05-14,laboratoire,,
2020-05-15,virus,15.0,51.72
2020-05-15,Chine,3.0,10.34
2020-05-15,laboratoire,1.0,3.45
2020-05-16,virus,8.0,27.59
2020-05-16,Chine,4.0,13.79
2020-05-16,laboratoire,,
2020-05-17,virus,17.0,38.64
2020-05-17,Chine,11.0,25.0
2020-05-17,laboratoire,2.0,4.55
2020-05-18,virus,17.0,51.52
2020-05-18,Chine,3.0,9.09
2020-05-18,laboratoire,1.0,3.03
2020-05-19,virus,9.0,33.33
2020-05-19,Chine,2.0,7.41
2020-05-19,laboratoire,,
2020-05-20,virus,3.0,17.65
2020-05-20,Chine,,
2020-05-20,laboratoire,,
2020-05-21,virus,12.0,57.14
2020-05-21,Chine,4.0,19.05
2020-05-21,laboratoire,1.0,4.76
2020-05-22,virus,18.0,64.29
2020-05-22,Chine,2.0,7.14
2020-05-22,laboratoire,,
2020-05-23,virus,7.0,38.89
2020-05-23,Chine,1.0,5.56
2020-05-23,laboratoire,1.0,5.56
2020-05-24,virus,9.0,47.37
2020-05-24,Chine,3.0,15.79
2020-05-24,laboratoire,,
2020-05-25,virus,7.0,43.75
2020-05-25,Chine,5.0,31.25
2020-05-25,laboratoire,1.0,6.25
2020-05-26,virus,6.0,35.29
2020-05-26,Chine,2.0,11.76
2020-05-26,laboratoire,,
2020-05-27,virus,5.0,26.32
2020-05-27,Chine,2.0,10.53
2020-05-27,laboratoire,,
